Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
4.053345, 0.000078, -0.000150 ,-0.000022
4.052891, 0.000078, -0.000149 ,-0.000022
4.052432, 0.000078, -0.000149 ,-0.000022
4.051969, 0.000078, -0.000149 ,-0.000022
4.051500, 0.000078, -0.000148 ,-0.000022
4.051027, 0.000078, -0.000148 ,-0.000022
4.050550, 0.000077, -0.000148 ,-0.000021
4.050068, 0.000077, -0.000148 ,-0.000021
4.049582, 0.000077, -0.000147 ,-0.000021
4.049091, 0.000077, -0.000147 ,-0.000021
4.048596, 0.000077, -0.000147 ,-0.000021
4.048096, 0.000077, -0.000146 ,-0.000021
4.047592, 0.000076, -0.000146 ,-0.000021
4.047083, 0.000076, -0.000146 ,-0.000020
4.046570, 0.000076, -0.000145 ,-0.000020
4.046053, 0.000076, -0.000145 ,-0.000020
4.045531, 0.000076, -0.000145 ,-0.000020
4.045006, 0.000076, -0.000144 ,-0.000020
4.044476, 0.000076, -0.000144 ,-0.000020
4.043941, 0.000075, -0.000144 ,-0.000020
4.043403, 0.000075, -0.000143 ,-0.000019
4.042861, 0.000075, -0.000143 ,-0.000019
4.042314, 0.000075, -0.000143 ,-0.000019
4.041763, 0.000075, -0.000142 ,-0.000019
4.041208, 0.000075, -0.000142 ,-0.000019
4.040649, 0.000074, -0.000142 ,-0.000019
4.040086, 0.000074, -0.000142 ,-0.000018
4.039520, 0.000074, -0.000141 ,-0.000018
4.038949, 0.000074, -0.000141 ,-0.000018
4.038374, 0.000074, -0.000141 ,-0.000018
4.037796, 0.000074, -0.000140 ,-0.000018
4.037213, 0.000074, -0.000140 ,-0.000018
4.036627, 0.000073, -0.000140 ,-0.000018
4.036037, 0.000073, -0.000139 ,-0.000017
4.035443, 0.000073, -0.000139 ,-0.000017
4.034845, 0.000073, -0.000139 ,-0.000017
4.034244, 0.000073, -0.000138 ,-0.000017
4.033639, 0.000073, -0.000138 ,-0.000017
4.033031, 0.000073, -0.000138 ,-0.000017
4.032418, 0.000072, -0.000137 ,-0.000016
4.031802, 0.000072, -0.000137 ,-0.000016
4.031183, 0.000072, -0.000137 ,-0.000016
4.030560, 0.000072, -0.000137 ,-0.000016
4.029933, 0.000072, -0.000136 ,-0.000016
4.029304, 0.000072, -0.000136 ,-0.000016
4.028670, 0.000071, -0.000136 ,-0.000015
4.028033, 0.000071, -0.000135 ,-0.000015
